               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10636,              0.0624,             0.02866,            0.087777,             0.55465,              0.1075,            0.031338,            0.081246,            0.041906,            0.025646,              0.0838,              0.0018,              0.0018
                   1,            0.079668,            0.061363,            0.025905,             0.20286,             0.25766,             0.18111,            0.059136,            0.075852,             0.04361,            0.023442,            0.066664,           0.0036637,           0.0036637
                   2,            0.068022,            0.045768,             0.02371,              0.2987,             0.47357,             0.26422,            0.088568,            0.071654,            0.029225,            0.022147,             0.04949,           0.0054902,           0.0054902
                   3,            0.070293,            0.042107,            0.023848,             0.31094,             0.52613,             0.35849,             0.18564,            0.070532,             0.02272,            0.021794,            0.032279,           0.0072795,           0.0072795
                   4,            0.069637,              0.0386,            0.021584,             0.36525,             0.34176,             0.33533,             0.13075,            0.077286,            0.022579,            0.020595,            0.015031,           0.0090314,           0.0090314
                   5,             0.06836,            0.039581,            0.021152,             0.42342,             0.49301,             0.47238,             0.16918,            0.059017,            0.023112,            0.017914,           0.0095099,           0.0095099,           0.0095099
                   6,            0.062555,             0.04079,            0.018513,             0.47511,             0.61197,             0.51389,             0.26679,            0.059014,            0.022066,            0.014844,           0.0095099,           0.0095099,           0.0095099
                   7,            0.057073,            0.038289,            0.015659,             0.53509,             0.65568,             0.62331,             0.30271,            0.050179,            0.022207,            0.012878,           0.0094119,           0.0094119,           0.0094119
                   8,            0.053988,            0.038576,            0.013761,             0.61546,             0.68603,             0.70443,             0.31405,            0.052793,            0.021876,              0.0117,           0.0093139,           0.0093139,           0.0093139
                   9,            0.052349,            0.035905,            0.011493,             0.57409,             0.59009,             0.61573,             0.30174,            0.048781,            0.022006,            0.010085,           0.0092158,           0.0092158,           0.0092158
                  10,            0.048433,            0.037769,             0.01135,             0.71595,             0.66633,             0.75997,             0.45044,            0.043192,            0.021595,           0.0093903,           0.0091178,           0.0091178,           0.0091178
                  11,            0.047764,            0.037874,           0.0090877,             0.78367,             0.73931,             0.83816,             0.51275,            0.038669,            0.022247,            0.010369,           0.0090198,           0.0090198,           0.0090198
